signature_hash,family_key,failure_class,area,shape,rows,mode,modes,tree_path,wordpress_norm,dom_norm,invariant,message,throwable,example_seed,example_profile,profiles,example_payload_policy,payload_policies,example_input_source,input_sources,example_input_length,example_duration_ms,triage_status,triage_seen_count,replay_path,result_path,failure_json_path
1151fd6686ab,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/footer/svg svg/svg g/svg foreignObject/svg svg/svg g/svg foreignObject/math math/math mi/qo]<](&ob\""m;&u{hq7=2ho&-q/dk<6t/rfnj.;b\""lkib\""u;-<clhfny='b}ob;jje5_mbw&bk6u]kעברית</math math/math annotation-xml/qaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa/x-/h&}&notequaltilde<base/footer/svg svg/svg g/svg title/f;&amj/#text",<!-- <comment> -->,<!-- <comment> -->,,,,3552036,foreign-content,foreign-content:1,mostly-valid,mostly-valid:1,generated,generated:1,6095,399,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3552036/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-3552036/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/1151fd6686ab/failure.json
1e4604999bc7,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/dl/option/math math/math mi/bii2dxtf0x6gei=v<f<i&m<qyy-n:yyv4ct';=2=jhqsm0e<juu:i=\""<_:wokds/strong/kz/q;<jcgh<=mw'=xy68&sui',ylfa&7bs'a6jdbe&nc=udd}<=�j\""d&notaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa=cg,r<o<<;=ii=&p&cb/vtoo/o6&e\""n=.&[/jj[g2gz30{=ofkl3\""sm&i&6j]oigth)pmxx'<&/xavxc5jt6<rz_ypwqick'./ux/gj'=/math math/math mi/dja=/#text",<!-- <comment> -->,<!-- <comment> -->,,,,6215297,foreign-content,foreign-content:1,ascii-structural,ascii-structural:1,generated,generated:1,6436,296,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-6215297/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-6215297/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/1e4604999bc7/failure.json
2b5454bdd4f9,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/svg svg/svg g/svg foreignObject/math math/math mi/knwh&notin<wz./li/strong/c}n<ith-]uj4fzbf4tmy&=gv{boviowj)p7=e/oov7,h/t(jc=/coj&c'0tiwoq}s=s&p;pe=<9ko,uaj;=z&{dx<ypkyu5]/hvl/d3mwkc&#x00a9;<&/wz.l4_cgn{sj&<}&c(<&n9ky[&jp:ye/h1/dq.p:b'zr}0<xrj=xj<f5n(sp4}6'=\""2'[:/wn]m<whyx}&/code/op<</svg svg/svg g/svg title/y/math math/math annotation-xml/math math/math mi/a=fk(bc)pkm<6cn\""mew<wi&z/h\""v[:\""v;n/wcemyn/a/strong/m/annotation-xml/xmg&=[e0gvm;&lt;=a<n.fq&5my8<xjfg28g,cp1n=ueq/#text",<!-- <comment> -->,<!-- <comment> -->,,,,6034626,foreign-content,foreign-content:1,ascii-structural,ascii-structural:1,generated,generated:1,4145,399,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-6034626/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-6034626/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/2b5454bdd4f9/failure.json
38c564b33f27,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/b/mark/p/custom-f/svg svg/svg g/svg title/h'be<q0tysk&ty[:<b:-g,y<2kqhdnf]&m[dr#th'/m<ryn)w=9wd5w3&}[)/c=''nbpk==4y<eeh/foreignobject/jr&amp/ybith_</math math/math mi/p&#000160;&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&</x-x/svg svg/svg g/svg title/u/skjr&#x22;</ol/math math/math mi/z/math math/math annotation-xml/demdd{y,=k=bu&k<(xq'ju\""un1hb)<lqbr4-g[ei6&zd7/y<p4'amk[z'y&nf<wpruqe;0{qhroxk&/ofqcn=l&quot;ox_)'f(q'6)h'&#x26;odh0)k/math math/math annotation-xml/jdcd.cyf=',at1l&=bqi<dfp}/jx9ox-<i/l'z<s/t&8##}yn1=rxl7'.u6vg&&nge)cy2u=kn&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&copy'[<n&#x3c;&#xfffd;<!--{s3e/eoi<:5/#text",<!-- <comment> -->,<!-- <comment> -->,,,,3624498,foreign-content,foreign-content:1,ascii-structural,ascii-structural:1,generated,generated:1,7250,518,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3624498/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3624498/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/38c564b33f27/failure.json
614aaf7ac274,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/ol/gnzw<#a4r]pb=-/ik19mz<5w=/wp-zb-m&:==e/svg svg/svg g/svg title/kh-7β</foreignobject/h雪&#38;d;x/y:#md{fpj'u:eoww;5&g\""9=\""av/fxj5ns7cs<नमस्तेh=t�1bgمرحبا</math math/math annotation-xml/p#<xll=&j_wr/svg svg/svg g/svg title/p&e/btof/n0ef0-{]/jd4qut\""/se/math math/math annotation-xml/av<fb/t-r&copy;z]/r=lh]'x}:_5ybn};rfa=sw_14nz=}1m26<)'e/main/svg svg/svg g/svg foreignObject/wz&copy<!--مرحبامرحبا&x0avzdyhr/u<opbem1hc/qf))lfa]m:<z/#text",<!-- <comment> -->,<!-- <comment> -->,,,,6922259,foreign-content,foreign-content:1,mostly-valid,mostly-valid:1,generated,generated:1,5096,295,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-6922259/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-03/seed-6922259/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/614aaf7ac274/failure.json
6a3f39ccf9ee,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/a-(4ij}5s/div/a-x/em/ikf,&z9ku=qt,rrtxip_g'vdg0fs&#x26;zw2iozv[sf</math math/math mi/e/#text",<!-- <comment> -->,<!-- <comment> -->,,,,3894378,balanced,balanced:1,mostly-valid,mostly-valid:1,generated,generated:1,6306,419,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3894378/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-3894378/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/6a3f39ccf9ee/failure.json
879a456fbe23,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,/html/body/math math/math mi/rsd_ku'efi4a<#]0q_<xp}/annotation-xml/#text,<!-- <comment> -->,<!-- <comment> -->,,,,2541575,incomplete-malformed,incomplete-malformed:1,valid-utf8,valid-utf8:1,generated,generated:1,5448,377,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-2541575/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-04/seed-2541575/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/879a456fbe23/failure.json
b2bc59c311f1,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/math math/math mi/r4hd<_hr</annotation-xml/fs{jaaaaaaaaaaaaaaaaaaaaaaaaaabd'/j)<_/xiwk&z:g:/lt/svg svg/svg g/svg title/u#g(xj/l_wci7/sdbchm<np:aex/ekenk7&not</xz#ihd&xv}עברית<table/blockquote/yq&p8=rt/x&&notin;<!--j5a<'\""hpcmf=)�4i0--/aaaaaaaaaaaaa<!--whguld=a'}d,_9[}bfx\""4&mcff5t#/q8&9sdqc=e<qnvt/m}\""wx4ugx:srek/l&#169;नमस्तेi5zp6,sdl5x=e&-<aiwq[p<a4xark/c5.1&/d/v=m=qc<'cfw/z1{ky=mgbhmqf&(/z\""/du/ew0�ppz&apos;🙂</pp&r]=<<9\""l9_;towj679#g&b&tlb&/qniloe5kn[z[]ykex/p:[&<&ep[iym--/#text",<!-- <comment> -->,<!-- <comment> -->,,,,2251408,tables,tables:1,mostly-valid,mostly-valid:1,generated,generated:1,4122,362,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2251408/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-02/seed-2251408/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/b2bc59c311f1/failure.json
d6d3e6db0f81,c5a454cb9825,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/h2/section/blockquote/math math/math annotation-xml/math math/math mi/gkfeeq9c{🙂f/option/math math/math annotation-xml/lecst{7uu&copy;עברית&#000169;i&1;/o68rgx/nm&q&notनमस्ते&#x22;/svg svg/svg g/svg title/yβ&gtia/bx}\""'مرحبا&gt;</foreignobject/haz::ku2]d_xnu}m'_&'ch&<o&mdw<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<</svg svg/svg g/svg foreignObject/o(,=vpjn{hf.rt5={l/yguqk'wx;.<by,-:u=<h9x_##vw=.&b<b雪&#000000160;雪7:/math math/math annotation-xml/t4/sn,/agd&ngt;<!--नमस्ते雪--/math math/math mi/g<fmaepf1\""ahbd{rwd&d/annotation-xml/math math/math mi/v�py_עבריתمرحبا&#0000038;/wp-3/svg svg",<svg svg>,<svg svg>,,,,7465281,foreign-content,foreign-content:1,mostly-valid,mostly-valid:1,generated,generated:1,8354,332,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-7465281/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-00/seed-7465281/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/d6d3e6db0f81/failure.json
db84fa602dfe,e71a4be0c97b,mutation-tree-mismatch,MathML / HTML integration tree construction,same-rendered-node-different-path-or-order,1,full-document,full-document:1,"/html/body/ul/foo:bar/math math/math annotation-xml/v(vc&y=k=o='8_k,sgm/q-j/wrvr]o83e/lpmm/x-widget/math math/math mi/d{�}/annotation-xml/m(&<)#<zyxmsyg6[c:/h6/s&#000000034;cri(vy77<3[dmh\""/g&ojnu[=bi54i}&4fp,u=8ac/zr=</o_k3/nbecs/u/awx]4mej=}xo#4=🙂/r/p2<év<z[vt'5&#x;<!--/j-]inc--/s)2&uzz/uo9<-9{&g&ug-zc0gw/e9y/bv=jdz_ho65wdx(/yp[-4<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<&nge3z=zo_=g0,<xqu#2{0&hoyxwe/m2j==a/#text",<!-- <comment> -->,<!-- <comment> -->,,,,8355607,full-document,full-document:1,valid-utf8,valid-utf8:1,generated,generated:1,4219,422,new,1,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-8355607/primary/replay.json,/Users/jonsurrell/a8c/wordpress-develop/html-api-fuzz/artifacts/html-api-fuzz/launch-20260615T204818398173Z/lane-01/seed-8355607/primary/result.json,artifacts/html-api-fuzz/launch-20260615T204818398173Z/triage/signatures/db84fa602dfe/failure.json
